Distintivo,CanalProgramacion,CanalVirtual/Frecuencia,TipoEstacion,Fecha,HoraInicio,HoraFin,NombrePrograma,Descripcion,PublicoObjetivo,Genero,TipoProduccion,NacionProduccion,TipoTransmision
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,12:00,13:00,El Show de la buenona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,13:00,14:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,14:00,15:00,Noticias Digitales Sinaloa,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,15:00,16:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,16:00,18:00,Lalo te las toca,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,18:00,20:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,20:00,20:00,Sobre la mesa,Mesa de Analisis,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,20:00,22:00,Noches Retro,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,22:00,00:00,El Show de la Potranka,Night Show,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,00:03,08:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,08:00,09:00,Espacio informativo,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,09:00,11:00,Isaac y la bandanduka,Morning show ,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,11:00,12:00,Las clasiconas de la Kañona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,12:00,13:00,El Show de la buenona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,13:00,14:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,14:00,15:00,Noticias Digitales Sinaloa,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,15:00,16:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,16:00,18:00,Lalo te las toca,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,18:00,20:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,20:00,20:00,Sobre la mesa,Mesa de Analisis,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,20:00,22:00,Noches Retro,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,06/03/2024,22:00,00:00,El Show de la Potranka,Night Show,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,00:03,08:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,08:00,09:00,Espacio informativo,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,09:00,11:00,Isaac y la bandanduka,Morning show ,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,11:00,12:00,Las clasiconas de la Kañona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,12:00,13:00,El Show de la buenona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,13:00,14:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,14:00,15:00,Noticias Digitales Sinaloa,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,15:00,16:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,16:00,18:00,Lalo te las toca,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,18:00,20:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,20:00,20:00,Sobre la mesa,Mesa de Analisis,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,20:00,22:00,Noches Retro,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,07/03/2024,22:00,00:00,El Show de la Potranka,Night Show,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,00:03,08:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,08:00,09:00,Espacio informativo,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,09:00,11:00,Isaac y la bandanduka,Morning show ,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,11:00,12:00,Las clasiconas de la Kañona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,12:00,13:00,El Show de la buenona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,13:00,14:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,14:00,15:00,Noticias Digitales Sinaloa,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,15:00,16:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,16:00,18:00,Lalo te las toca,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,18:00,20:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,20:00,20:00,Sobre la mesa,Mesa de Analisis,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,20:00,22:00,Noches Retro,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,08/03/2024,22:00,00:00,El Show de la Potranka,Night Show,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,00:03,10:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,10:00,13:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,13:00,14:00,Pasión deportiva,Programa Deportivo,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,14:00,18:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,18:00,20:00,Viva la música,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,20:00,22:00,La Kañona mix,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,09/03/2024,22:00,00:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,00:03,10:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,10:00,14:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,14:00,21:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,21:00,22:00,La hora Nacional,Programa informativo,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,10/03/2024,22:00,00:00,Programacion Musical,Música,,,,,
